Mean,Std,Accuracy
160,200,78.72185508410136
160,260,78.72185508410136
160,304,78.72185508410136
160,360,78.72185508410136
160,420,78.72185508410136
200,200,78.72185508410136
200,260,78.72185508410136
200,304,78.72185508410136
200,360,78.72185508410136
200,420,78.72185508410136
229,200,78.72185508410136
229,260,78.72185508410136
229,304,78.72185508410136
229,360,83.30649733543396
229,420,78.72185508410136
260,200,78.72185508410136
260,260,78.72185508410136
260,304,78.72573335965474
260,360,78.72185508410136
260,420,78.72185508410136
290,200,78.72185508410136
290,260,78.72185508410136
290,304,78.72185508410136
290,360,78.72185508410136
290,420,78.72185508410136
